Date,Open,High,Low,Close,Adj Close,Volume
2023-03-19,2.419430,2.436342,2.360987,2.395278,2.395278,29489634
2023-03-20,2.395018,2.397438,2.357421,2.380537,2.380537,30732105
2023-03-21,2.380656,2.411316,2.375412,2.404875,2.404875,29488416
2023-03-22,2.404951,2.448445,2.377559,2.383135,2.383135,31511606
2023-03-23,2.383291,2.387230,1.988288,2.180405,2.180405,68672922
2023-03-24,2.180829,2.180829,1.984540,2.093763,2.093763,30608152
2023-03-25,2.094456,2.127878,2.058610,2.095800,2.095800,27863563
2023-03-26,2.096346,2.137349,2.065769,2.118903,2.118903,40714626
2023-03-27,2.119200,2.155326,2.079889,2.093642,2.093642,35275635
2023-03-28,2.093488,2.118920,2.041256,2.112170,2.112170,25738969
2023-03-29,2.112077,2.169815,2.080832,2.113005,2.113005,25042867
2023-03-30,2.113222,2.138541,2.068686,2.083845,2.083845,24485600
2023-03-31,2.083884,2.268501,2.072953,2.252706,2.252706,38067031
2023-04-01,2.252849,2.269712,2.231235,2.258969,2.258969,29672567
2023-04-02,2.261273,2.282701,2.225223,2.262744,2.262744,28879010
2023-04-03,2.263495,2.263495,2.194632,2.239095,2.239095,34142579
2023-04-04,2.238886,2.293781,2.229370,2.268146,2.268146,33213537
2023-04-05,2.268001,2.322984,2.267384,2.317765,2.317765,35633190
2023-04-06,2.318071,2.318428,2.256597,2.259952,2.259952,14688070
2023-04-07,2.259689,2.271330,2.208032,2.242160,2.242160,21757125
2023-04-08,2.241453,2.264420,2.209478,2.219717,2.219717,13415333
2023-04-09,2.220133,2.244297,2.211676,2.225162,2.225162,32812950
2023-04-10,2.226879,2.232817,2.175441,2.205121,2.205121,37159886
2023-04-11,2.205024,2.231876,2.193166,2.224073,2.224073,41146538
2023-04-12,2.224153,2.224153,2.145214,2.194081,2.194081,63521213
2023-04-13,2.193747,2.265733,2.184638,2.258974,2.258974,29768578
2023-04-14,2.259932,2.343803,2.251067,2.336320,2.336320,30174245
2023-04-15,2.336425,2.363468,2.304871,2.346249,2.346249,28776066
2023-04-16,2.346015,2.374987,2.326682,2.357208,2.357208,31361987
2023-04-17,2.358603,2.360979,2.275832,2.301723,2.301723,32566297
2023-04-18,2.301185,2.329000,2.284578,2.313247,2.313247,19650854
2023-04-19,2.308514,2.321125,2.233947,2.264712,2.264712,23842739
2023-04-20,2.264667,2.293936,2.239372,2.269329,2.269329,25146411
2023-04-21,2.269345,2.313996,2.245672,2.260128,2.260128,27432786
2023-04-22,2.260510,2.310595,2.254064,2.308728,2.308728,21655448
2023-04-23,2.308913,2.333017,2.293412,2.327145,2.327145,21939918
2023-04-24,2.327110,2.332465,2.273979,2.298471,2.298471,24732656
2023-04-25,2.298037,2.305477,2.255716,2.287453,2.287453,22592325
2023-04-26,2.287454,2.289328,2.212163,2.233781,2.233781,27763343
2023-04-27,2.232089,2.251449,2.191812,2.207687,2.207687,19388261
2023-04-28,2.207975,2.213985,2.149810,2.156952,2.156952,21144954
2023-04-29,2.157464,2.181526,2.147437,2.167598,2.167598,17286860
2023-04-30,2.167544,2.182903,2.128634,2.143739,2.143739,16249177
2023-05-01,2.143746,2.173907,2.086558,2.094977,2.094977,22701383
2023-05-02,2.095405,2.117184,2.074697,2.114500,2.114500,15943704
2023-05-03,2.109902,2.130201,2.043339,2.048101,2.048101,14893909
2023-05-04,2.048134,2.098676,2.029647,2.097222,2.097222,10985327
